Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1416.98,1547.83,130.85,6308.26,5914.60,-393.66,5711.20,5748.38,37.18,6515.28,6592.42,77.14,424.30,423.06,-1.23,176.37,179.01,2.64,613.48,629.13,15.65,49.24,5.12,-44.12,8.84,3.95,-4.89,62.00,50.02
01-May-21,1524.31,1603.89,79.58,6279.28,5772.95,-506.33,5889.64,5596.14,-293.51,6430.17,6625.66,195.49,406.84,424.79,17.95,176.13,177.46,1.33,596.61,631.17,34.56,49.24,62.72,13.48,8.84,3.93,-4.90,63.00,50.05
01-May-21,1551.48,1625.36,73.89,6282.52,5774.20,-508.32,5861.92,5373.95,-487.98,6540.38,6323.92,-216.46,406.54,416.86,10.32,176.15,180.34,4.19,617.90,629.57,11.67,49.24,180.32,131.08,8.85,3.93,-4.92,64.00,50.03
01-May-21,1588.24,1686.80,98.56,5979.82,5853.54,-126.28,5771.54,5270.07,-501.46,6440.42,6003.28,-437.14,408.72,413.39,4.67,176.13,177.74,1.61,621.69,630.40,8.71,49.24,-42.24,-91.48,8.83,3.93,-4.90,65.00,50.08
01-May-21,1605.16,1682.88,77.72,5969.55,5923.62,-45.92,5687.71,5243.17,-444.54,6370.69,6204.82,-165.87,406.62,412.88,6.25,189.95,177.71,-12.24,633.35,628.32,-5.02,49.24,-2.72,-51.96,8.85,3.90,-4.95,66.00,50.04
01-May-21,1558.46,1618.16,59.70,6270.98,5904.46,-366.51,5709.68,5181.72,-527.96,6263.76,6279.96,16.20,412.46,409.15,-3.31,176.14,179.46,3.33,641.04,630.66,-10.38,49.24,27.84,-21.40,8.84,3.88,-4.96,67.00,50.02
01-May-21,1575.81,1550.54,-25.27,6259.96,6081.44,-178.52,5699.87,5100.48,-599.39,6211.82,6382.33,170.51,420.96,399.99,-20.97,176.15,177.94,1.79,631.41,627.98,-3.43,49.24,6.40,-42.84,8.84,3.92,-4.92,68.00,49.98
01-May-21,1512.71,1481.84,-30.87,5963.22,6205.81,242.58,5456.84,5056.14,-400.70,5928.91,6362.80,433.89,419.39,397.17,-22.22,176.19,179.55,3.36,625.97,628.04,2.06,49.24,24.96,-24.28,8.86,3.93,-4.92,69.00,49.96
01-May-21,1480.06,1460.34,-19.72,5946.18,6071.95,125.78,5252.07,5007.52,-244.55,5820.28,6031.72,211.45,416.46,394.68,-21.78,176.19,176.65,0.46,640.43,627.81,-12.62,49.24,114.24,65.00,8.85,3.95,-4.90,70.00,49.99
01-May-21,1477.24,1508.51,31.27,5447.18,5528.88,81.70,4725.80,4863.27,137.47,5697.05,5798.82,101.77,413.35,394.16,-19.18,176.18,177.63,1.46,607.32,630.98,23.67,49.24,-19.20,-68.44,8.85,3.96,-4.89,71.00,50.03
01-May-21,1475.29,1484.81,9.52,5092.65,5179.61,86.96,4333.40,4714.64,381.24,5715.58,5556.92,-158.66,410.05,387.13,-22.92,189.99,178.48,-11.51,641.13,631.86,-9.27,49.24,-11.20,-60.44,8.85,3.96,-4.88,72.00,50.03
01-May-21,1557.23,1458.54,-98.70,4716.42,4772.16,55.74,4371.63,4578.58,206.95,5782.19,5571.78,-210.41,423.23,342.00,-81.23,179.49,180.10,0.61,626.92,632.31,5.38,49.24,63.36,14.12,8.85,3.96,-4.90,73.00,50.11
01-May-21,1586.06,1441.55,-144.52,4712.52,4640.11,-72.41,4009.74,4498.48,488.73,5756.27,5583.96,-172.31,427.28,350.03,-77.25,179.48,182.25,2.77,626.92,631.12,4.20,49.24,-27.84,-77.08,8.86,3.96,-4.90,74.00,50.07
01-May-21,1625.66,1496.83,-128.83,4762.17,4599.52,-162.64,4073.03,4412.06,339.02,5749.81,5756.16,6.35,431.53,367.24,-64.28,179.50,181.19,1.70,602.83,631.45,28.62,49.24,-24.00,-73.24,8.86,3.98,-4.89,75.00,50.00
